DEBT,NETWORTH,HOUSES,NFIN,ASSET
7790.0,50180.0,50000.0,57400.0,57970.0
7830.0,46340.0,50000.0,53600.0,54170.0
32100.0,-26200.0,0.0,5800.0,5900.0
32100.0,-26100.0,0.0,5900.0,6000.0
32100.0,-26200.0,0.0,5800.0,5900.0
32100.0,-26200.0,0.0,5800.0,5900.0
32100.0,-26200.0,0.0,5800.0,5900.0
60000.0,-12000.0,0.0,0.0,48000.0
60000.0,-12000.0,0.0,0.0,48000.0
60000.0,-12000.0,0.0,0.0,48000.0
60000.0,-12000.0,0.0,0.0,48000.0
60000.0,-12000.0,0.0,0.0,48000.0
600.0,11450.0,0.0,11200.0,12050.0
600.0,11550.0,0.0,11300.0,12150.0
600.0,11450.0,0.0,11200.0,12050.0
600.0,11550.0,0.0,11300.0,12150.0
600.0,11550.0,0.0,11300.0,12150.0
0.0,500.0,0.0,0.0,500.0
0.0,500.0,0.0,0.0,500.0
0.0,500.0,0.0,0.0,500.0
0.0,500.0,0.0,0.0,500.0
0.0,500.0,0.0,0.0,500.0
613500.0,583500.0,800000.0,800000.0,1197000.0
613500.0,583500.0,800000.0,800000.0,1197000.0
613500.0,583500.0,800000.0,800000.0,1197000.0
613500.0,583500.0,800000.0,800000.0,1197000.0
613500.0,583500.0,800000.0,800000.0,1197000.0
1200.0,-1140.0,0.0,0.0,60.0
1200.0,-1110.0,0.0,0.0,90.0
1200.0,-1130.0,0.0,0.0,70.0
1200.0,-1140.0,0.0,0.0,60.0
1200.0,-1130.0,0.0,0.0,70.0
30700.0,-23770.0,0.0,4900.0,6930.0
30700.0,-23880.0,0.0,4800.0,6820.0
30700.0,-23780.0,0.0,4900.0,6920.0
30700.0,-23880.0,0.0,4800.0,6820.0
30700.0,-23880.0,0.0,4800.0,6820.0
28000.0,46500.0,0.0,70000.0,74500.0
29230.0,38270.0,0.0,63000.0,67500.0
29740.0,21660.0,0.0,46900.0,51400.0
30100.0,34400.0,0.0,60000.0,64500.0
28000.0,27500.0,0.0,51000.0,55500.0
0.0,87700.0,50000.0,63400.0,87700.0
0.0,97800.0,63000.0,74300.0,97800.0
0.0,110710.0,72000.0,87200.0,110710.0
0.0,90090.0,58000.0,66600.0,90090.0
0.0,89430.0,56000.0,65100.0,89430.0
0.0,5700.0,0.0,3600.0,5700.0
0.0,5700.0,0.0,3600.0,5700.0
0.0,5700.0,0.0,3600.0,5700.0
0.0,5600.0,0.0,3600.0,5600.0
0.0,5800.0,0.0,3700.0,5800.0
0.0,1305.0,0.0,0.0,1305.0
0.0,1305.0,0.0,0.0,1305.0
0.0,1310.0,0.0,0.0,1310.0
0.0,1310.0,0.0,0.0,1310.0
0.0,1310.0,0.0,0.0,1310.0
36690.0,-32280.0,0.0,3900.0,4410.0
36690.0,-32280.0,0.0,3900.0,4410.0
36600.0,-32190.0,0.0,3900.0,4410.0
36990.0,-32580.0,0.0,3900.0,4410.0
36800.0,-32390.0,0.0,3900.0,4410.0
7000.0,22700.0,0.0,8500.0,29700.0
